rank,num_ranks,mode,kernel,N,global_N,M,Nmat,K,ms_gpu,GFLOPs,GBs
0,1,axpy,axpy,1000000,1000000,0,0,0,0.030000,0.000,400.000
0,1,axpy,axpy,5000000,5000000,0,0,0,0.120000,0.000,500.000
0,1,axpy,axpy,10000000,10000000,0,0,0,0.220000,0.000,545.000
0,1,axpy,axpy,50000000,50000000,0,0,0,1.080000,0.000,556.000
0,2,axpy,axpy,25000000,50000000,0,0,0,0.650000,0.000,461.000
0,3,axpy,axpy,16666667,50000000,0,0,0,0.460000,0.000,435.000
0,4,axpy,axpy,12500000,50000000,0,0,0,0.470000,0.000,319.000
0,1,add,add,1000000,1000000,0,0,0,0.028000,0.000,429.000
0,1,add,add,5000000,5000000,0,0,0,0.100000,0.000,600.000
0,1,add,add,10000000,10000000,0,0,0,0.180000,0.000,667.000
0,1,add,add,50000000,50000000,0,0,0,1.085000,0.000,553.000
0,2,add,add,25000000,50000000,0,0,0,0.600000,0.000,500.000
0,3,add,add,16666667,50000000,0,0,0,0.400000,0.000,500.000
0,4,add,add,12500000,50000000,0,0,0,0.350000,0.000,429.000
0,1,copy,copy,1000000,1000000,0,0,0,0.025000,0.000,320.000
0,1,copy,copy,5000000,5000000,0,0,0,0.090000,0.000,444.000
0,1,copy,copy,10000000,10000000,0,0,0,0.170000,0.000,471.000
0,1,copy,copy,50000000,50000000,0,0,0,0.743000,0.000,539.000
0,2,copy,copy,25000000,50000000,0,0,0,0.400000,0.000,500.000
0,3,copy,copy,16666667,50000000,0,0,0,0.300000,0.000,444.000
0,4,copy,copy,12500000,50000000,0,0,0,0.250000,0.000,400.000
0,1,reduce,tree,50000000,50000000,0,0,0,0.366000,0.000,547.000
0,2,reduce,tree,25000000,50000000,0,0,0,0.300000,0.000,333.000
0,3,reduce,tree,16666667,50000000,0,0,0,0.250000,0.000,267.000
0,4,reduce,tree,12500000,50000000,0,0,0,0.200000,0.000,250.000
0,1,reduce,tree,1000000,1000000,0,0,0,0.030000,0.000,133.000
0,1,reduce,tree,5000000,5000000,0,0,0,0.060000,0.000,333.000
0,1,reduce,tree,10000000,10000000,0,0,0,0.090000,0.000,444.000
0,1,gemm,naive,0,0,512,512,512,2.097000,128.000,0.001
0,1,gemm,naive,0,0,1024,1024,1024,4.232000,507.000,0.001
0,1,gemm,naive,0,0,4096,4096,4096,156.175000,880.000,0.002
0,1,gemm,naive,0,0,16384,16384,16384,22186.682000,396.000,0.003
0,1,gemm,tiled,0,0,512,512,512,1.989000,135.000,0.001
0,1,gemm,tiled,0,0,1024,1024,1024,3.712000,579.000,0.001
0,1,gemm,tiled,0,0,4096,4096,4096,114.762000,1198.000,0.002
0,1,gemm,tiled,0,0,16384,16384,16384,5635.488000,1561.000,0.003
0,1,gemm,optimised,0,0,512,512,512,1.884000,142.000,0.001
0,1,gemm,optimised,0,0,1024,1024,1024,1.952000,1100.000,0.001
0,1,gemm,optimised,0,0,4096,4096,4096,7.162000,19190.000,0.001
0,1,gemm,optimised,0,0,16384,16384,16384,258.743000,33996.000,0.003
0,2,gemm,naive,0,0,16384,16384,16384,19698.428000,223.000,11.276
0,3,gemm,naive,0,0,16384,16384,16384,19708.506000,149.000,0.012
0,4,gemm,naive,0,0,16384,16384,16384,19698.293000,112.000,12.761
0,2,gemm,tiled,0,0,16384,16384,16384,6120.767000,719.000,0.302
0,3,gemm,tiled,0,0,16384,16384,16384,6132.969000,478.000,0.011
0,4,gemm,tiled,0,0,16384,16384,16384,6125.217000,359.000,0.700
0,2,gemm,optimised,0,0,16384,16384,16384,275.763000,15949.000,0.278
0,3,gemm,optimised,0,0,16384,16384,16384,277.609000,10563.000,0.011
0,4,gemm,optimised,0,0,16384,16384,16384,277.831000,7915.000,7.930
