rank,mode,kernel,N,M,Nmat,K,ms_gpu,GFLOPs,GBs
0,axpy,axpy,1000000,0,0,0,0.027392,0.000,438.084
0,axpy,axpy,500000,0,0,0,0.109056,0.000,55.018
1,axpy,axpy,500000,0,0,0,0.112896,0.000,53.146
1,axpy,axpy,250000,0,0,0,0.013728,0.000,218.531
3,axpy,axpy,250000,0,0,0,0.013408,0.000,223.747
0,axpy,axpy,250000,0,0,0,0.108000,0.000,27.778
2,axpy,axpy,250000,0,0,0,0.022752,0.000,131.857
0,axpy,axpy,5000000,0,0,0,0.113888,0.000,526.833
0,axpy,axpy,2500000,0,0,0,0.154240,0.000,194.502
1,axpy,axpy,2500000,0,0,0,0.163488,0.000,183.500
1,axpy,axpy,1250000,0,0,0,0.041312,0.000,363.091
0,axpy,axpy,1250000,0,0,0,0.032928,0.000,455.539
3,axpy,axpy,1250000,0,0,0,0.039584,0.000,378.941
2,axpy,axpy,1250000,0,0,0,0.034208,0.000,438.494
0,axpy,axpy,10000000,0,0,0,0.220448,0.000,544.346
0,axpy,axpy,5000000,0,0,0,0.259680,0.000,231.054
1,axpy,axpy,5000000,0,0,0,0.210528,0.000,284.998
0,axpy,axpy,2500000,0,0,0,0.063936,0.000,469.219
1,axpy,axpy,2500000,0,0,0,0.064256,0.000,466.882
3,axpy,axpy,2500000,0,0,0,0.074176,0.000,404.443
2,axpy,axpy,2500000,0,0,0,0.153280,0.000,195.720
0,axpy,axpy,50000000,0,0,0,1.080960,0.000,555.062
0,axpy,axpy,25000000,0,0,0,0.644256,0.000,465.653
1,axpy,axpy,25000000,0,0,0,0.667456,0.000,449.468
0,axpy,axpy,12500000,0,0,0,0.280224,0.000,535.286
1,axpy,axpy,12500000,0,0,0,0.374240,0.000,400.812
2,axpy,axpy,12500000,0,0,0,0.374880,0.000,400.128
3,axpy,axpy,12500000,0,0,0,0.371456,0.000,403.816
0,axpy,axpy,100000000,0,0,0,2.153792,0.000,557.157
1,axpy,axpy,50000000,0,0,0,1.183744,0.000,506.866
0,axpy,axpy,50000000,0,0,0,1.192448,0.000,503.167
3,axpy,axpy,25000000,0,0,0,0.649952,0.000,461.573
2,axpy,axpy,25000000,0,0,0,0.560288,0.000,535.439
1,axpy,axpy,25000000,0,0,0,0.649312,0.000,462.027
0,axpy,axpy,25000000,0,0,0,0.643744,0.000,466.024
